Siparis_ID,Tarih,Bolge,Sehir,Musteri_Tipi,Kategori,Urun_Adi,Satis_Adedi,Birim_Fiyat,Maliyet,Toplam_Ciro,Kar
ORD-1001,2026-01-05,Marmara,İstanbul,Kurumsal,Teknoloji,Laptop,12,25000,20000,300000,60000
ORD-1002,2026-01-08,Ege,İzmir,Bireysel,Teknoloji,Akıllı Telefon,5,18000,14000,90000,20000
ORD-1003,2026-01-12,Marmara,Bursa,Bireysel,Tekstil,Mont,45,2200,1500,99000,31500
ORD-1004,2026-01-15,Akdeniz,Antalya,Kurumsal,Gıda,Kahve Çekirdeği,200,180,110,36000,14000
ORD-1005,2026-01-20,İç Anadolu,Ankara,Kurumsal,Teknoloji,Monitör,15,8500,6500,127500,30000
ORD-1006,2026-01-25,Ege,Aydın,Bireysel,Ev & Yaşam,Kahve Makinesi,20,4500,3200,90000,26000
ORD-1007,2026-02-01,Marmara,İstanbul,Bireysel,Tekstil,Ayakkabı,60,1900,1200,114000,42000
ORD-1008,2026-02-05,Akdeniz,Mersin,Kurumsal,Gıda,Zeytinyağı,150,450,300,67500,22500
ORD-1009,2026-02-10,Karadeniz,Trabzon,Bireysel,Teknoloji,Kulaklık,35,2100,1400,73500,24500
ORD-1010,2026-02-14,İç Anadolu,Konya,Kurumsal,Tekstil,Çalışma Koltuğu,25,5200,3800,130000,35000
ORD-1011,2026-02-20,Marmara,İstanbul,Kurumsal,Teknoloji,Laptop,8,26000,20500,208000,44000
ORD-1012,2026-02-24,Ege,İzmir,Kurumsal,Ev & Yaşam,Masa Lambası,80,650,400,52000,20000
ORD-1013,2026-03-02,Marmara,Kocaeli,Kurumsal,Teknoloji,Sunucu,2,120000,95000,240000,50000
ORD-1014,2026-03-06,Akdeniz,Adana,Bireysel,Tekstil,T-Shirt,120,450,250,54000,24000
ORD-1015,2026-03-10,İç Anadolu,Ankara,Bireysel,Teknoloji,Akıllı Telefon,10,18500,14200,185000,43000
ORD-1016,2026-03-15,Karadeniz,Samsun,Kurumsal,Gıda,Fındık Ezmesi,300,120,80,36000,12000
ORD-1017,2026-03-22,Ege,Muğla,Bireysel,Ev & Yaşam,Bahçe Mobilyası,4,35000,26000,140000,36000
ORD-1018,2026-03-28,Marmara,İstanbul,Bireysel,Gıda,Kahve Çekirdeği,100,190,115,19000,7500
ORD-1019,2026-04-03,Akdeniz,Antalya,Kurumsal,Teknoloji,Monitör,22,8800,6600,193600,48400
ORD-1020,2026-04-08,İç Anadolu,Eskişehir,Bireysel,Tekstil,Ceket,30,3200,2100,96000,33000
ORD-1021,2026-04-14,Marmara,İstanbul,Kurumsal,Teknoloji,Masaüstü PC,15,32000,25000,480000,105000
ORD-1022,2026-04-19,Ege,İzmir,Bireysel,Tekstil,Ayakkabı,40,2100,1300,84000,32000
ORD-1023,2026-04-25,Karadeniz,Ordu,Kurumsal,Gıda,Bal,80,600,420,48000,144000
ORD-1024,2026-05-02,Akdeniz,Mersin,Bireysel,Ev & Yaşam,Klima,6,28000,21000,168000,42000
ORD-1025,2026-05-09,Marmara,Bursa,Kurumsal,Tekstil,Iş Elbisesi,200,850,550,170000,60000
ORD-1026,2026-05-15,İç Anadolu,Ankara,Kurumsal,Teknoloji,Laptop,20,25500,20200,510000,106000
ORD-1027,2026-05-21,Ege,Denizli,Bireysel,Tekstil,Havluset,150,350,200,52500,22500
ORD-1028,2026-05-28,Marmara,İstanbul,Bireysel,Teknoloji,Kulaklık,50,2200,1450,110000,37500
ORD-1029,2026-06-04,Akdeniz,Antalya,Kurumsal,Ev & Yaşam,Otel Tipi Buzdolabı,12,14000,10500,168000,42000
ORD-1030,2026-06-11,Karadeniz,Rize,Bireysel,Gıda,Çay,400,150,95,60000,22000
